"","population","number.of.drugs","V1","V2","V3","V4","V5","V6","V7","V8"
"NICLOSAMIDE",38,4,"BIBR1532","HYPERFORIN","NICLOSAMIDE","SID26681509",NA,NA,NA,NA
"OUABAIN",39,3,"BREFELDINA","OUABAIN","TRIPTOLIDE",NA,NA,NA,NA,NA
"PAC1",40,6,"CICLOPIROX","MST312","NUTLIN3","OLAPARIB","PAC1","TW37",NA,NA
"PF750",41,5,"KO143","LE135","OLIGOMYCINA","PF750","VALDECOXIB",NA,NA,NA
"PIPERLONGUMINE",42,7,"CERULENIN","CUCURBITACINI","CURCUMIN","NSC632839","PIFITHRINMU","PIPERLONGUMINE","PX12",NA
"PRIMA1MET",43,5,"DARINAPARSIN","FUMONISINB1","PRIMA1","PRIMA1MET","SRT1720",NA,NA,NA
"QS11",44,4,"BRIVANIB","MYRICETIN","PURMORPHAMINE","QS11",NA,NA,NA,NA
"SB431542",45,2,"SB431542","SB525334",NA,NA,NA,NA,NA,NA
"SELUMETINIB",46,2,"SELUMETINIB","TRAMETINIB",NA,NA,NA,NA,NA,NA
"SITAGLIPTIN",47,4,"SGX523","SITAGLIPTIN","SJ172550","TG100115",NA,NA,NA,NA
"SN38",48,4,"CHLORAMBUCIL","GEMCITABINE","SN38","TOPOTECAN",NA,NA,NA,NA
"TEMOZOLOMIDE",49,3,"DACARBAZINE","FLUOROURACIL","TEMOZOLOMIDE",NA,NA,NA,NA,NA
"TEMSIROLIMUS",50,5,"AVICIND","AZD7545","SIROLIMUS","TACROLIMUS","TEMSIROLIMUS",NA,NA,NA
"TENIPOSIDE",51,4,"CLOFARABINE","ETOPOSIDE","IMPORTAZOLE","TENIPOSIDE",NA,NA,NA,NA
"TG101348",52,3,"BI2536","KU0060648","TG101348",NA,NA,NA,NA,NA
"TIVANTINIB",53,4,"LY2183240","SB225002","TIVANTINIB","YK4279",NA,NA,NA,NA
"TPCA1",54,5,"ERASTIN","GW405833","PYRAZOLANTHRONE","SUNITINIB","TPCA1",NA,NA,NA
"TRIFLUOPERAZINE",55,7,"BAXCHANNELBLOCKER","CAY10594","FULVESTRANT","PF543","PROCHLORPERAZINE","SERDEMETAN","TRIFLUOPERAZINE",NA
"YM155",56,4,"METHOTREXATE","OBATOCLAX","SCH79797","YM155",NA,NA,NA,NA
"ZSTK474",57,4,"GDC0941","MK2206","PI103","ZSTK474",NA,NA,NA,NA
